numcol,yieldpercol,totalprod,stocks,prodvalue
8000.0,47,376000.0,194000.0,711000.0
9000.0,50,450000.0,68000.0,837000.0
23000.0,80,1840000.0,791000.0,2484000.0
43000.0,80,3440000.0,894000.0,3440000.0
51000.0,51,2601000.0,988000.0,5800000.0
8000.0,59,472000.0,131000.0,656000.0
40000.0,57,2280000.0,388000.0,1984000.0
120000.0,48,5760000.0,3110000.0,3398000.0
24000.0,41,984000.0,462000.0,590000.0
46000.0,60,2760000.0,524000.0,1877000.0
30000.0,64,1920000.0,902000.0,2419000.0
7000.0,35,245000.0,64000.0,309000.0
37000.0,72,2664000.0,746000.0,1625000.0
100000.0,46,4600000.0,1380000.0,6118000.0
230000.0,98,22540000.0,4508000.0,14426000.0
4000.0,46,184000.0,55000.0,294000.0
11000.0,23,253000.0,86000.0,405000.0
87000.0,36,3132000.0,1879000.0,5575000.0
440000.0,70,30800000.0,11396000.0,18172000.0
32000.0,55,1760000.0,774000.0,1954000.0
7000.0,65,455000.0,114000.0,905000.0
52000.0,54,2808000.0,1151000.0,1629000.0
105000.0,82,8610000.0,1550000.0,8266000.0
24000.0,65,1560000.0,437000.0,1061000.0
9000.0,61,549000.0,104000.0,785000.0
4000.0,61,244000.0,54000.0,517000.0
145000.0,52,7540000.0,2413000.0,14703000.0
10000.0,93,930000.0,233000.0,1125000.0
60000.0,34,2040000.0,755000.0,3427000.0
8000.0,51,408000.0,102000.0,526000.0
8000.0,85,680000.0,408000.0,1251000.0
157000.0,74,11618000.0,2905000.0,18356000.0
16000.0,41,656000.0,151000.0,892000.0
6000.0,55,330000.0,125000.0,752000.0
30000.0,65,1950000.0,839000.0,1775000.0
43000.0,65,2795000.0,1146000.0,5394000.0
17000.0,66,1122000.0,224000.0,999000.0
5000.0,37,185000.0,37000.0,614000.0
26000.0,42,1092000.0,339000.0,1747000.0
55000.0,46,2530000.0,152000.0,4225000.0
58000.0,51,2958000.0,1361000.0,1893000.0
35000.0,67,2345000.0,1337000.0,2486000.0
10000.0,70,700000.0,350000.0,462000.0
8000.0,61,488000.0,146000.0,571000.0
170000.0,68,11560000.0,1618000.0,16415000.0
32000.0,76,2432000.0,730000.0,2164000.0
52000.0,93,4836000.0,3337000.0,2757000.0
31000.0,51,1581000.0,838000.0,1818000.0
10000.0,26,260000.0,117000.0,179000.0
5000.0,66,330000.0,119000.0,726000.0
38000.0,77,2926000.0,468000.0,1902000.0
270000.0,66,17820000.0,6237000.0,25304000.0
220000.0,100,22000000.0,3432000.0,14080000.0
16000.0,98,1568000.0,78000.0,2258000.0
7000.0,60,420000.0,143000.0,668000.0
69000.0,70,4830000.0,2077000.0,3188000.0
5000.0,37,185000.0,33000.0,481000.0
28000.0,56,1568000.0,800000.0,1756000.0
36000.0,77,2772000.0,471000.0,4629000.0
160000.0,86,13760000.0,2477000.0,11971000.0
9000.0,74,666000.0,246000.0,2431000.0
23000.0,38,874000.0,315000.0,568000.0
11000.0,41,451000.0,266000.0,546000.0
92000.0,52,4784000.0,718000.0,9568000.0
10000.0,50,500000.0,215000.0,785000.0
7000.0,42,294000.0,79000.0,462000.0
145000.0,92,13340000.0,3202000.0,22678000.0
100000.0,57,5700000.0,1653000.0,7809000.0
108000.0,81,8748000.0,2799000.0,5599000.0
25000.0,63,1575000.0,189000.0,3119000.0
9000.0,50,450000.0,63000.0,1130000.0
51000.0,55,2805000.0,1935000.0,2833000.0
12000.0,86,1032000.0,103000.0,1218000.0
340000.0,87,29580000.0,6803000.0,40229000.0
25000.0,60,1500000.0,360000.0,2205000.0
29000.0,57,1653000.0,827000.0,2215000.0
50000.0,78,3900000.0,2301000.0,2730000.0
6000.0,43,258000.0,49000.0,557000.0
50000.0,98,4900000.0,1617000.0,3185000.0
10000.0,44,440000.0,154000.0,251000.0
22000.0,46,1012000.0,253000.0,1811000.0
11000.0,20,220000.0,106000.0,174000.0
21000.0,69,1449000.0,246000.0,1869000.0
45000.0,64,2880000.0,1123000.0,5645000.0
42000.0,51,2142000.0,964000.0,2720000.0
43000.0,75,3225000.0,1161000.0,4805000.0
74000.0,64,4736000.0,2084000.0,8572000.0
7000.0,44,308000.0,92000.0,339000.0
8000.0,56,448000.0,116000.0,1160000.0
460000.0,71,32660000.0,7512000.0,54542000.0
26000.0,45,1170000.0,433000.0,796000.0
26000.0,84,2184000.0,1441000.0,2992000.0
125000.0,67,8375000.0,1591000.0,16080000.0
13000.0,82,1066000.0,43000.0,1322000.0
14000.0,98,1372000.0,453000.0,1276000.0
124000.0,88,10912000.0,4692000.0,6438000.0
59000.0,39,2301000.0,874000.0,3751000.0
7000.0,54,378000.0,234000.0,461000.0
43000.0,94,4042000.0,1334000.0,2102000.0
65000.0,68,4420000.0,2519000.0,4155000.0
130000.0,67,8710000.0,3136000.0,7491000.0
24000.0,57,1368000.0,301000.0,1943000.0
41000.0,111,4551000.0,865000.0,2685000.0
95000.0,37,3515000.0,1793000.0,2812000.0
8000.0,96,768000.0,77000.0,1221000.0
280000.0,96,26880000.0,9408000.0,18547000.0
27000.0,50,1350000.0,419000.0,1944000.0
103000.0,46,4738000.0,1706000.0,7202000.0
97000.0,79,7663000.0,1533000.0,4981000.0
14000.0,40,560000.0,196000.0,661000.0
7000.0,44,308000.0,68000.0,902000.0
